respondent_id,survey_year,region,province,sex,age,civil_status,education_level,years_of_schooling,employment_status,occupation_type,monthly_income_php,household_size,num_children,housing_type,water_source,toilet_facility,electricity_source,internet_access,health_insurance,food_insecurity_score,bmi,mental_health_score,dist_to_health_facility_km,received_gov_aid,gov_aid_amount_php
PH-002313,2019,Region XII,Region XII Province,Male,26,Married,College,17,Underemployed,Education,24271.0,3,1,Rented,Deep Well,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,None,3,27.8,6.0,3.2,0,0
PH-002314,2018,Region VIII,Region VIII Province,Male,52,Live-in,Postgraduate,17,Unemployed,None/Informal,,7,3,Rented,Piped/NAWASA,Water-sealed/Flush,Generator,Both,None,4,21.1,3.0,6.6,1,1500
PH-002315,2019,Region I,La Union,Female,40,Widowed,Postgraduate,19,Employed,Transport/Logistics,56441.0,5,0,Informal Settler,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Both,None,4,20.3,6.0,5.8,0,0
PH-002316,2021,Region VIII,Region VIII Province,Male,58,Widowed,College,16,Underemployed,Government,63256.0,5,1,Owned - Light Materials,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,3,,,10.4,0,0
PH-002317,2021,NCR,Metro Manila,Female,37,Widowed,Vocational/Tech,13,Self-Employed,Education,32815.0,5,2,Owned - Concrete,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,3,21.9,9.0,0.3,0,0
PH-002318,2019,Region VIII,Region VIII Province,Female,40,Single,College,18,Employed,None/Informal,38846.0,5,4,Owned - Light Materials,River/Rain,Shared Toilet,Meralco/Electric Coop,Broadband,None,2,27.3,2.0,3.8,1,1500
PH-002319,2018,Region XI,Davao del Sur,Female,43,Married,No Formal Education,2,Unemployed,None/Informal,,6,1,Owned - Concrete,Deep Well,Pit Latrine,None,None,None,3,18.1,6.0,7.7,1,1000
PH-002320,2018,NCR,Metro Manila,Female,41,Live-in,High School,9,Employed,Transport/Logistics,32872.0,4,2,Rented,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,None,None,2,27.4,10.0,1.6,1,1000
PH-002321,2020,Region XII,Region XII Province,Female,28,Single,College,16,Self-Employed,Healthcare,6687.0,6,1,Owned - Concrete,Deep Well,Pit Latrine,None,None,PhilHealth Only,3,27.4,9.0,8.2,0,0
PH-002322,2018,Region VIII,Region VIII Province,Male,42,Live-in,Vocational/Tech,13,Underemployed,Healthcare,18803.0,2,3,Owned - Concrete,Communal Faucet,Pit Latrine,None,Broadband,HMO Only,3,22.9,8.0,0.3,0,0
PH-002323,2021,Region X,Region X Province,Male,39,Separated/Annulled,High School,9,Retired,Education,6556.0,2,0,Owned - Concrete,Deep Well,Shared Toilet,Solar,Mobile Data Only,HMO Only,5,21.9,16.0,3.4,0,0
PH-002324,2023,Region VIII,Region VIII Province,Male,15,Separated/Annulled,Elementary,6,Self-Employed,Manufacturing,12457.0,7,1,Rented,River/Rain,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,2,25.2,10.0,8.4,0,0
PH-002325,2018,Region II,Region II Province,Male,52,Widowed,College,15,Underemployed,Agriculture/Fishing,,2,1,Owned - Concrete,Communal Faucet,Pit Latrine,Meralco/Electric Coop,None,PhilHealth Only,4,,3.0,6.0,1,2000
PH-002326,2022,Region II,Region II Province,Male,34,Single,College,15,Retired,Government,10027.0,3,1,Owned - Light Materials,Piped/NAWASA,Pit Latrine,Generator,None,PhilHealth + HMO,2,,13.0,0.5,0,0
PH-002327,2018,CARAGA,CARAGA Province,Female,23,Widowed,High School,11,Unemployed,None/Informal,,2,1,Informal Settler,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,3,,3.0,5.0,0,0
PH-002328,2018,Region I,Ilocos Norte,Male,37,Separated/Annulled,High School,10,Employed,Manufacturing,25377.0,3,2,Rented,Piped/NAWASA,None,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,2,23.4,16.0,9.0,1,2000
PH-002329,2020,Region XI,Davao del Norte,Female,19,Widowed,Vocational/Tech,12,Unemployed,None/Informal,,6,3,Owned - Light Materials,Shallow Well,None,Generator,Both,PhilHealth Only,2,27.9,19.0,1.6,0,0
PH-002330,2018,Region VII,Siquijor,Male,23,Separated/Annulled,High School,9,Unemployed,None/Informal,-999.0,6,2,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,4,25.9,9.0,1.0,1,2000
PH-002331,2018,Region IX,Region IX Province,Female,47,Separated/Annulled,High School,9,Unemployed,None/Informal,0.0,6,1,Rented,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,3,18.1,10.0,6.7,1,2000
PH-002332,2021,BARMM,Lanao del Sur,Female,34,Live-in,Elementary,8,Unemployed,None/Informal,0.0,6,1,Shared/Rent-free,Deep Well,Water-sealed/Flush,Generator,Mobile Data Only,PhilHealth Only,4,20.2,8.0,10.8,1,500
PH-002333,2020,Region X,Region X Province,Female,37,Live-in,High School,11,Employed,Manufacturing,,4,3,Shared/Rent-free,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Both,PhilHealth Only,3,,17.0,9.1,0,0
PH-002334,2020,Region II,Region II Province,Female,19,Single,Elementary,5,Employed,Government,36821.0,3,2,Owned - Concrete,Shallow Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,23.5,8.0,2.9,0,0
PH-002335,2020,Region IX,Region IX Province,Male,24,Live-in,Vocational/Tech,12,Underemployed,Manufacturing,8813.0,4,1,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,3,30.7,8.0,5.7,0,0
PH-002336,2021,Region III,Region III Province,Male,40,Live-in,High School,12,Unemployed,None/Informal,0.0,5,2,Owned - Light Materials,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,HMO Only,4,26.5,5.0,7.6,0,0
PH-002337,2022,Region IV-B,Region IV-B Province,Female,45,Separated/Annulled,High School,9,Retired,IT/Tech,7293.0,4,3,Rented,Bottled/Delivered,Pit Latrine,Meralco/Electric Coop,Broadband,PhilHealth Only,3,29.0,19.0,2.6,0,0
PH-002338,2021,Region IX,Region IX Province,Male,18,Married,College,17,Student,None/Informal,0.0,5,3,Owned - Concrete,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,None,PhilHealth Only,3,,5.0,7.1,0,0
PH-002339,2022,Region VII,Bohol,Female,27,Single,No Formal Education,1,Underemployed,IT/Tech,31561.0,8,0,Rented,Shallow Well,Water-sealed/Flush,Generator,Broadband,PhilHealth Only,2,28.1,,4.9,0,0
PH-002340,2020,Region IV-A,Cavite,Female,35,Married,Elementary,5,Underemployed,Retail/Trade,5116.0,4,1,Rented,Communal Faucet,None,None,None,None,3,30.6,5.0,7.4,0,0
PH-002341,2020,Region III,Region III Province,Female,31,Single,High School,10,Employed,None/Informal,20581.0,6,2,Shared/Rent-free,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,None,PhilHealth + HMO,3,28.6,9.0,3.2,1,2000
PH-002342,2021,Region I,Ilocos Norte,Female,21,Single,College,18,Underemployed,Government,8842.0,10,3,Rented,Piped/NAWASA,None,Meralco/Electric Coop,Broadband,PhilHealth Only,1,18.9,14.0,6.6,0,0
PH-002343,2021,Region VIII,Region VIII Province,Male,41,Married,College,18,Employed,Healthcare,20890.0,4,2,Owned - Light Materials,Communal Faucet,Pit Latrine,Solar,None,PhilHealth Only,3,15.2,9.0,2.4,1,2000
PH-002344,2019,CARAGA,CARAGA Province,Male,37,Live-in,High School,12,Unemployed,None/Informal,0.0,10,2,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,3,28.4,,14.9,1,1000
PH-002345,2022,Region XII,Region XII Province,Male,42,Single,Vocational/Tech,14,Student,None/Informal,0.0,8,0,Owned - Concrete,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,4,20.6,10.0,2.2,0,0
PH-002346,2021,BARMM,Maguindanao,Female,29,Widowed,High School,12,Student,None/Informal,,4,3,Rented,Shallow Well,Water-sealed/Flush,None,None,PhilHealth + HMO,4,,10.0,7.0,1,1000
PH-002347,2019,CAR,CAR Province,Female,19,Single,Elementary,7,Student,None/Informal,0.0,4,1,Informal Settler,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,5,26.3,1.0,8.0,1,2000
PH-002348,2019,NCR,Metro Manila,Male,47,Single,Elementary,7,Employed,Healthcare,85226.0,1,0,Rented,Communal Faucet,Shared Toilet,Generator,None,PhilHealth Only,4,,3.0,1.6,0,0
PH-002349,2018,CARAGA,CARAGA Province,Male,15,Widowed,High School,10,Self-Employed,Agriculture/Fishing,24392.0,5,3,Informal Settler,Deep Well,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,None,1,24.9,3.0,13.8,0,0
PH-002350,2020,Region IV-A,Quezon,Female,24,Single,College,16,Student,None/Informal,0.0,4,0,Informal Settler,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Broadband,PhilHealth Only,4,28.1,8.0,5.1,1,1000
PH-002351,2021,Region V,Region V Province,Female,17,Married,Elementary,8,Employed,Retail/Trade,20336.0,4,6,Owned - Concrete,Deep Well,Water-sealed/Flush,None,Mobile Data Only,PhilHealth Only,1,30.6,14.0,5.8,0,0
PH-002352,2020,CARAGA,CARAGA Province,Male,56,Widowed,College,15,Unemployed,None/Informal,,5,2,Informal Settler,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Both,PhilHealth Only,3,29.6,14.0,7.6,0,0
PH-002353,2023,Region IV-A,Batangas,Male,19,Widowed,Elementary,7,Student,None/Informal,0.0,4,0,Rented,River/Rain,Pit Latrine,Meralco/Electric Coop,Both,HMO Only,3,29.7,5.0,4.9,1,2000
PH-002354,2021,Region IX,Region IX Province,Female,35,Widowed,College,18,Self-Employed,None/Informal,40500.0,1,1,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Solar,Mobile Data Only,PhilHealth Only,3,29.5,7.0,0.6,0,0
PH-002355,2021,Region IV-A,Laguna,Male,42,Separated/Annulled,College,16,Student,None/Informal,0.0,3,0,Rented,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,None,3,23.7,7.0,1.6,1,500
PH-002356,2022,CARAGA,CARAGA Province,Female,45,Separated/Annulled,High School,9,Self-Employed,Manufacturing,52309.0,5,0,Rented,Piped/NAWASA,Water-sealed/Flush,None,Broadband,PhilHealth + HMO,2,24.5,,16.7,0,0
PH-002357,2022,BARMM,Basilan,Female,26,Married,High School,11,Unemployed,None/Informal,,4,2,Shared/Rent-free,Deep Well,Shared Toilet,None,None,PhilHealth Only,5,27.5,11.0,12.6,1,1500
PH-002358,2023,Region V,Region V Province,Female,51,Separated/Annulled,Elementary,8,Retired,Healthcare,11659.0,3,4,Rented,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,None,HMO Only,3,22.6,5.0,5.9,1,1500
PH-002359,2018,Region II,Region II Province,Male,40,Single,Elementary,6,Employed,Retail/Trade,27402.0,5,4,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,4,25.3,12.0,1.9,0,0
PH-002360,2021,Region IV-A,Quezon,Female,39,Married,Postgraduate,20,Self-Employed,Agriculture/Fishing,72083.0,4,0,Rented,Piped/NAWASA,Pit Latrine,None,None,PhilHealth Only,2,19.9,,3.9,1,1500
PH-002361,2019,CARAGA,CARAGA Province,Male,18,Live-in,High School,9,Employed,Government,,6,0,Shared/Rent-free,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth Only,5,26.6,13.0,7.4,0,0
PH-002362,2020,Region IX,Region IX Province,Female,45,Single,Elementary,6,Employed,IT/Tech,12642.0,6,2,Informal Settler,Communal Faucet,Pit Latrine,Generator,Broadband,None,3,19.6,7.0,6.8,1,500
PH-002363,2022,CAR,CAR Province,Female,23,Widowed,High School,9,Unemployed,None/Informal,0.0,5,0,Owned - Concrete,Shallow Well,Water-sealed/Flush,None,Mobile Data Only,None,4,19.3,10.0,16.4,0,0
PH-002364,2022,Region I,La Union,Male,26,Married,College,15,Student,None/Informal,0.0,5,2,Rented,Piped/NAWASA,Water-sealed/Flush,None,Broadband,None,3,20.3,0.0,6.0,1,2000
PH-002365,2021,Region III,Region III Province,Female,16,Widowed,Postgraduate,18,Employed,Construction,25776.0,4,3,Owned - Light Materials,Deep Well,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,2,23.1,12.0,6.0,1,1500
PH-002366,2021,Region IV-B,Region IV-B Province,Male,38,Live-in,High School,12,Underemployed,Manufacturing,16892.0,2,3,Rented,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Broadband,PhilHealth Only,3,20.2,9.0,4.9,1,1000
PH-002367,2021,Region II,Region II Province,Female,33,Single,High School,11,Retired,Healthcare,11311.0,7,3,Owned - Concrete,Communal Faucet,Pit Latrine,Meralco/Electric Coop,Both,PhilHealth Only,1,27.1,17.0,6.2,0,0
PH-002368,2020,CARAGA,CARAGA Province,Male,48,Live-in,College,16,Self-Employed,Construction,81418.0,6,2,Rented,Communal Faucet,Pit Latrine,Meralco/Electric Coop,Both,None,4,25.1,11.0,9.5,0,0
PH-002369,2023,Region VIII,Region VIII Province,Female,53,Single,Elementary,5,Unemployed,None/Informal,0.0,3,4,Owned - Concrete,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,None,4,18.6,9.0,1.3,0,0
PH-002370,2020,Region I,Ilocos Norte,Male,42,Single,Vocational/Tech,12,Unemployed,None/Informal,,6,1,Owned - Light Materials,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Broadband,None,4,32.7,7.0,1.8,0,0
PH-002371,2023,Region IX,Region IX Province,Female,52,Widowed,College,17,Self-Employed,None/Informal,79027.0,4,3,Shared/Rent-free,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth + HMO,4,21.4,5.0,8.7,0,0
PH-002372,2023,CAR,CAR Province,Female,55,Single,Postgraduate,17,Unemployed,None/Informal,0.0,5,0,Owned - Light Materials,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,None,5,22.3,6.0,14.4,0,0
PH-002373,2018,Region XII,Region XII Province,Female,53,Single,Elementary,8,Unemployed,None/Informal,,6,2,Owned - Concrete,Piped/NAWASA,None,Meralco/Electric Coop,Mobile Data Only,None,4,24.7,10.0,2.6,1,1000
PH-002374,2022,Region III,Region III Province,Female,31,Single,Elementary,6,Employed,None/Informal,28135.0,2,2,Owned - Light Materials,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,2,31.9,15.0,3.6,1,1500
PH-002375,2022,Region XII,Region XII Province,Male,33,Live-in,High School,11,Self-Employed,Construction,23286.0,3,2,Informal Settler,Bottled/Delivered,Shared Toilet,Meralco/Electric Coop,Both,None,2,19.8,,6.9,1,1500
PH-002376,2022,Region V,Region V Province,Male,25,Widowed,Vocational/Tech,11,Employed,IT/Tech,41656.0,3,2,Rented,River/Rain,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,3,24.4,,3.5,1,1000
PH-002377,2023,Region IV-B,Region IV-B Province,Male,32,Single,No Formal Education,2,Self-Employed,Healthcare,21514.0,3,1,Owned - Concrete,River/Rain,Pit Latrine,Meralco/Electric Coop,None,None,1,22.4,6.0,4.2,0,0
PH-002378,2018,Region XI,Davao del Sur,Male,32,Separated/Annulled,High School,12,Self-Employed,Agriculture/Fishing,23457.0,5,3,Owned - Light Materials,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth + HMO,2,19.4,2.0,3.5,0,0
PH-002379,2019,Region XII,Region XII Province,Female,30,Live-in,Postgraduate,18,Employed,Transport/Logistics,15336.0,2,1,Rented,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,PhilHealth + HMO,3,27.0,5.0,3.8,0,0
PH-002380,2023,Region I,Ilocos Norte,Male,23,Live-in,College,17,Retired,None/Informal,9773.0,3,2,Rented,Piped/NAWASA,Water-sealed/Flush,None,None,PhilHealth Only,1,23.0,9.0,5.6,0,0
PH-002381,2023,Region II,Region II Province,Female,67,Married,Elementary,7,Unemployed,None/Informal,0.0,5,0,Informal Settler,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,3,17.0,7.0,2.5,0,0
PH-002382,2023,BARMM,Basilan,Female,45,Single,No Formal Education,0,Unemployed,None/Informal,,3,1,Rented,Bottled/Delivered,Pit Latrine,Meralco/Electric Coop,Both,None,3,31.8,6.0,24.8,1,1000
PH-002383,2020,Region X,Region X Province,Female,44,Married,College,15,Self-Employed,Government,32507.0,5,2,Shared/Rent-free,Shallow Well,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth Only,1,23.3,,4.9,1,1500
PH-002384,2022,CAR,CAR Province,Male,18,Single,Elementary,6,Self-Employed,None/Informal,23589.0,7,3,Rented,Piped/NAWASA,None,Meralco/Electric Coop,None,PhilHealth Only,2,28.5,6.0,0.1,0,0
PH-002385,2023,Region IV-A,Batangas,Male,23,Widowed,Elementary,7,Retired,IT/Tech,18493.0,4,1,Shared/Rent-free,Communal Faucet,Water-sealed/Flush,None,None,None,2,32.5,16.0,11.7,1,1000
PH-002386,2019,Region XII,Region XII Province,Male,33,Separated/Annulled,Elementary,8,Self-Employed,Manufacturing,29067.0,2,4,Rented,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Both,PhilHealth + HMO,1,25.4,2.0,3.2,0,0
PH-002387,2021,Region VI,Region VI Province,Male,24,Single,High School,9,Employed,None/Informal,16903.0,3,1,Owned - Concrete,Deep Well,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,19.9,12.0,8.7,0,0
PH-002388,2018,BARMM,Lanao del Sur,Male,28,Live-in,College,18,Unemployed,None/Informal,,3,1,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,None,None,PhilHealth Only,5,25.3,5.0,15.4,0,0
PH-002389,2020,Region I,La Union,Male,21,Single,College,15,Self-Employed,Manufacturing,36637.0,5,1,Owned - Light Materials,Bottled/Delivered,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,2,20.8,11.0,8.7,1,1500
PH-002390,2018,NCR,Metro Manila,Female,27,Widowed,College,15,Student,None/Informal,0.0,5,0,Owned - Concrete,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,24.4,3.0,0.5,0,0
PH-002391,2021,Region IV-A,Cavite,Male,26,Widowed,Vocational/Tech,11,Unemployed,None/Informal,,5,1,Informal Settler,Deep Well,Pit Latrine,Meralco/Electric Coop,None,None,1,15.6,6.0,6.4,0,0
PH-002392,2021,Region V,Region V Province,Female,15,Live-in,College,15,Retired,Government,8103.0,3,4,Owned - Light Materials,Deep Well,None,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,2,26.1,9.0,1.4,0,0
PH-002393,2019,Region VI,Region VI Province,Female,44,Single,College,15,Retired,Agriculture/Fishing,10787.0,5,7,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,None,Mobile Data Only,PhilHealth Only,1,,6.0,5.9,0,0
PH-002394,2021,Region V,Region V Province,Male,34,Widowed,High School,10,Employed,Education,18872.0,3,2,Owned - Concrete,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,1,,8.0,1.6,1,2000
PH-002395,2018,Region IV-B,Region IV-B Province,Male,29,Widowed,College,16,Employed,Government,51755.0,3,2,Informal Settler,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth + HMO,2,27.7,11.0,10.5,1,1500
PH-002396,2021,Region I,La Union,Female,32,Separated/Annulled,College,17,Student,None/Informal,0.0,6,2,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,5,21.5,13.0,4.4,0,0
PH-002397,2020,CAR,CAR Province,Female,34,Live-in,College,16,Unemployed,None/Informal,0.0,4,2,Owned - Concrete,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,3,25.4,16.0,18.9,0,0
PH-002398,2020,Region X,Region X Province,Male,45,Widowed,College,16,Self-Employed,Government,18521.0,3,3,Owned - Light Materials,Deep Well,Water-sealed/Flush,None,Mobile Data Only,PhilHealth Only,3,30.7,5.0,4.3,1,1000
PH-002399,2023,Region III,Region III Province,Female,15,Separated/Annulled,Elementary,6,Employed,IT/Tech,19235.0,6,1,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,None,Broadband,PhilHealth Only,3,23.7,,1.6,1,2000
PH-002400,2023,NCR,Metro Manila,Female,36,Separated/Annulled,College,18,Retired,Government,2991.0,4,0,Shared/Rent-free,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,None,PhilHealth + HMO,5,27.8,,2.4,1,1000
PH-002401,2023,BARMM,Tawi-Tawi,Male,23,Live-in,College,18,Employed,Agriculture/Fishing,69453.0,6,1,Shared/Rent-free,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Broadband,PhilHealth Only,4,19.9,3.0,7.7,1,1500
PH-002402,2019,Region IV-A,Cavite,Female,28,Single,Postgraduate,20,Retired,Retail/Trade,6485.0,7,1,Shared/Rent-free,Bottled/Delivered,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,None,4,,0.0,5.8,0,0
PH-002403,2019,Region III,Region III Province,Male,15,Married,Elementary,5,Unemployed,None/Informal,0.0,4,0,Owned - Concrete,River/Rain,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,5,,8.0,8.8,0,0
PH-002404,2022,Region XII,Region XII Province,Male,24,Single,College,17,Self-Employed,Retail/Trade,33728.0,5,2,Owned - Concrete,Bottled/Delivered,Water-sealed/Flush,None,Broadband,PhilHealth Only,4,27.6,9.0,0.0,0,0
PH-002405,2020,BARMM,Lanao del Sur,Male,23,Separated/Annulled,College,18,Unemployed,None/Informal,,4,2,Owned - Light Materials,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth Only,2,34.6,18.0,16.2,1,1500
PH-002406,2023,Region VI,Region VI Province,Male,35,Separated/Annulled,College,17,Underemployed,IT/Tech,12014.0,3,2,Informal Settler,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,Both,PhilHealth Only,3,19.3,9.0,4.5,0,0
PH-002407,2021,Region III,Region III Province,Male,15,Widowed,Elementary,8,Employed,Manufacturing,14527.0,4,4,Owned - Light Materials,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,18.9,14.0,0.4,0,0
PH-002408,2022,Region IV-A,Laguna,Female,47,Married,College,15,Self-Employed,Manufacturing,18348.0,4,4,Owned - Concrete,Shallow Well,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,1,18.6,5.0,8.1,0,0
PH-002409,2021,NCR,Metro Manila,Male,16,Married,High School,9,Self-Employed,Education,4450.0,3,2,Owned - Concrete,Shallow Well,Water-sealed/Flush,Meralco/Electric Coop,Broadband,None,5,22.6,,2.1,1,1000
PH-002410,2023,Region VI,Region VI Province,Female,15,Widowed,Elementary,6,Self-Employed,Construction,19281.0,5,2,Owned - Light Materials,Piped/NAWASA,Pit Latrine,Meralco/Electric Coop,Both,None,2,24.6,0.0,3.0,0,0
PH-002411,2018,Region V,Region V Province,Male,40,Separated/Annulled,Postgraduate,18,Self-Employed,Healthcare,13502.0,4,2,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,2,25.2,3.0,4.4,1,1000
PH-002412,2020,CAR,CAR Province,Male,42,Widowed,College,16,Underemployed,Agriculture/Fishing,14450.0,3,2,Rented,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,15.9,16.0,9.6,0,0
PH-002413,2022,BARMM,Tawi-Tawi,Male,40,Married,Vocational/Tech,12,Underemployed,IT/Tech,24309.0,2,1,Shared/Rent-free,Piped/NAWASA,Water-sealed/Flush,Solar,None,PhilHealth Only,2,21.2,16.0,6.0,0,0
PH-002414,2023,Region V,Region V Province,Female,28,Married,High School,12,Underemployed,Government,14797.0,2,1,Owned - Light Materials,Bottled/Delivered,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,3,23.1,7.0,3.4,1,1500
PH-002415,2023,Region I,Ilocos Sur,Male,16,Married,College,15,Unemployed,None/Informal,,5,4,Shared/Rent-free,Deep Well,Water-sealed/Flush,Meralco/Electric Coop,None,PhilHealth + HMO,4,25.4,11.0,1.2,1,2000
PH-002416,2018,CARAGA,CARAGA Province,Female,55,Live-in,High School,12,Self-Employed,None/Informal,27485.0,7,1,Owned - Concrete,Deep Well,Pit Latrine,Meralco/Electric Coop,Mobile Data Only,None,4,27.8,10.0,13.6,1,1000
PH-002417,2021,Region XII,Region XII Province,Female,32,Single,College,17,Underemployed,Education,,5,0,Owned - Light Materials,Bottled/Delivered,Shared Toilet,None,Mobile Data Only,PhilHealth Only,2,23.7,13.0,4.8,0,0
PH-002418,2021,Region IV-A,Quezon,Male,49,Separated/Annulled,High School,12,Retired,None/Informal,,5,0,Shared/Rent-free,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,4,24.1,11.0,2.4,0,0
PH-002419,2023,Region IV-B,Region IV-B Province,Female,50,Single,College,18,Retired,Retail/Trade,15013.0,5,1,Shared/Rent-free,Piped/NAWASA,Shared Toilet,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,21.5,12.0,9.9,0,0
PH-002420,2022,Region VII,Siquijor,Female,47,Live-in,Postgraduate,17,Employed,Construction,15712.0,5,0,Rented,Shallow Well,Water-sealed/Flush,Meralco/Electric Coop,None,None,3,26.4,0.0,1.5,1,2000
PH-002421,2023,Region XI,Davao de Oro,Male,31,Single,High School,12,Self-Employed,Manufacturing,20322.0,2,2,Shared/Rent-free,Piped/NAWASA,Pit Latrine,Solar,Mobile Data Only,PhilHealth Only,3,23.7,4.0,8.1,0,0
PH-002422,2019,Region XII,Region XII Province,Female,54,Separated/Annulled,College,16,Underemployed,Transport/Logistics,10490.0,3,2,Owned - Light Materials,Communal Faucet,Water-sealed/Flush,Meralco/Electric Coop,Both,PhilHealth + HMO,2,23.9,11.0,0.7,0,0
PH-002423,2023,Region III,Region III Province,Male,50,Separated/Annulled,Elementary,5,Employed,None/Informal,25428.0,4,1,Owned - Concrete,Piped/NAWASA,Water-sealed/Flush,Meralco/Electric Coop,Broadband,PhilHealth Only,2,17.2,,5.1,1,3000
PH-002424,2022,CARAGA,CARAGA Province,Male,40,Single,Postgraduate,20,Self-Employed,Transport/Logistics,43084.0,2,2,Owned - Light Materials,Piped/NAWASA,Shared Toilet,None,Broadband,None,2,28.1,0.0,11.3,0,0
PH-002425,2022,Region XI,Davao de Oro,Female,27,Single,College,18,Retired,Education,,5,1,Owned - Concrete,Deep Well,None,Solar,None,PhilHealth + HMO,3,24.0,3.0,7.5,0,0
PH-002426,2023,Region I,La Union,Male,30,Married,College,15,Employed,Transport/Logistics,4254.0,4,0,Shared/Rent-free,Communal Faucet,Water-sealed/Flush,None,Both,PhilHealth + HMO,2,19.3,8.0,9.0,0,0
PH-002427,2018,Region II,Region II Province,Female,38,Separated/Annulled,College,15,Retired,Healthcare,7765.0,5,1,Rented,Bottled/Delivered,None,Meralco/Electric Coop,Mobile Data Only,PhilHealth Only,3,19.7,0.0,3.8,0,0
